# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
8

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
BODY,P80,0,CSYKEIZMSY,0,0,0,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 3.022540983606556986e-01, 0.000000000000000000e+00, 4.610655737704866253e-02, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,36,17
# x,y,z,u,w
3.139082104433207898e-01, 5.544100693313042810e-02, 4.610655737704866253e-02, 8.000000000000000444e-01, 0.000000000000000000e+00
3.139082104433207898e-01, 5.108241465929875408e-02, 2.454033949576723411e-02, 8.000000000000000444e-01, 2.500000000000000000e-01
3.139082104433207898e-01, 3.919513208167505619e-02, 6.911425295373604602e-03, 8.000000000000000444e-01, 5.000000000000000000e-01
3.139082104433207898e-01, 2.156621788128142841e-02, -4.975857282250085480e-03, 8.000000000000000444e-01, 7.500000000000000000e-01
3.139082104433207898e-01, -8.326672684688670615e-20, -9.334449556081769045e-03, 8.000000000000000444e-01, 1.000000000000000000e+00
3.139082104433207898e-01, -2.156621788128142841e-02, -4.975857282250085480e-03, 8.000000000000000444e-01, 1.250000000000000000e+00
3.139082104433207898e-01, -3.919513208167505619e-02, 6.911425295373604602e-03, 8.000000000000000444e-01, 1.500000000000000000e+00
3.139082104433207898e-01, -5.108241465929875408e-02, 2.454033949576723411e-02, 8.000000000000000444e-01, 1.750000000000000000e+00
3.139082104433207898e-01, -5.544100693313042810e-02, 4.610655737704866253e-02, 8.000000000000000444e-01, 2.000000000000000000e+00
3.139082104433207898e-01, -5.108241465929875408e-02, 6.767277525833009788e-02, 8.000000000000000444e-01, 2.250000000000000000e+00
3.139082104433207898e-01, -3.919513208167505619e-02, 8.530168945872371178e-02, 8.000000000000000444e-01, 2.500000000000000000e+00
3.139082104433207898e-01, -2.156621788128142841e-02, 9.718897203634740967e-02, 8.000000000000000444e-01, 2.750000000000000000e+00
3.139082104433207898e-01, -8.031852694895867079e-19, 1.015475643101790837e-01, 8.000000000000000444e-01, 3.000000000000000000e+00
3.139082104433207898e-01, 2.156621788128142841e-02, 9.718897203634740967e-02, 8.000000000000000444e-01, 3.250000000000000000e+00
3.139082104433207898e-01, 3.919513208167505619e-02, 8.530168945872371178e-02, 8.000000000000000444e-01, 3.500000000000000000e+00
3.139082104433207898e-01, 5.108241465929875408e-02, 6.767277525833009788e-02, 8.000000000000000444e-01, 3.750000000000000000e+00
3.139082104433207898e-01, 5.544100693313042810e-02, 4.610655737704866253e-02, 8.000000000000000444e-01, 4.000000000000000000e+00
3.187014667817082980e-01, 5.650000000000000161e-02, 4.610655737704866253e-02, 1.000000000000000000e+00, 0.000000000000000000e+00
3.187014667817082980e-01, 5.205701234304610514e-02, 2.412302034791037261e-02, 1.000000000000000000e+00, 2.500000000000000000e-01
3.187014667817082980e-01, 3.994369958145626426e-02, 6.162857795592405208e-03, 1.000000000000000000e+00, 5.000000000000000000e-01
3.187014667817082980e-01, 2.198353702913829338e-02, -5.950454965997438277e-03, 1.000000000000000000e+00, 7.500000000000000000e-01
