Slice	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
-3.819234471511422e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	4.511171433931697e-03
-3.019095284513499e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	6.133029640435197e-03
-2.218956097515577e-01	8.560428212891083e-05	-2.218956097515576e-01	6.552904760218021e-01	2.748981541264069e-02	2.171387225018154e-07	1.243414652981115e-07	3.211547831444483e-07	-1.651302491089292e-08	1.654361225106055e-24	3.180042695958916e-08	7.847676017293255e-03
-1.418816910517653e-01	1.712085642578217e-04	-1.818886504016615e-01	6.552904760218021e-01	2.748981541264069e-02	4.342774450036309e-07	5.227119617251163e-07	9.163385974177898e-07	-3.302604982178585e-08	1.654361225106055e-23	6.360085391917833e-08	9.562322394151312e-03
-6.186777235197296e-02	1.578453309913632e-03	-7.488596052566977e-02	1.066151347653635e-01	6.136892049205509e-03	1.375125041937140e-04	4.850111059183411e-06	1.418186362382091e-04	-1.132095398204055e-05	-4.374645270693622e-07	3.715545813753442e-06	1.225370999154425e-02
1.814614634781928e-02	6.020694829552654e-03	-6.244200809770922e-03	2.800532049838802e-02	7.544987020969038e-03	1.085801708220477e-03	2.171493733857774e-05	1.105252764348840e-03	-2.309493295203360e-05	-2.616498513962549e-07	3.898877236212003e-06	1.786295906199849e-02
9.816006504761163e-02	1.153573396754241e-02	4.366971138659553e-02	1.396942646853942e-02	1.190663346119477e-02	3.205746696257139e-03	6.324136660412492e-05	3.261133607226351e-03	-3.222553190767560e-05	2.448510480909223e-06	3.132464746272738e-06	2.462833125610485e-02
1.781739837474040e-01	1.431665338676451e-02	6.979631603865125e-02	1.120398263321451e-02	1.297891269066385e-02	4.343537870941798e-03	1.085943891714365e-04	4.442066492267554e-03	-3.656835229140801e-05	4.108810235272843e-06	3.031051232342952e-06	2.885636880341107e-02
2.581879024471964e-01	1.431665338676451e-02	6.979631603865125e-02	1.120398263321451e-02	1.297891269066385e-02	4.343537870941798e-03	1.085943891714365e-04	4.442066492267554e-03	-3.656835229140801e-05	4.108810235272843e-06	3.031051232342952e-06	3.045708222045236e-02
3.382018211469885e-01	1.431665338676451e-02	6.979631603865125e-02	1.120398263321451e-02	1.297891269066385e-02	4.343537870941798e-03	1.085943891714365e-04	4.442066492267554e-03	-3.656835229140801e-05	4.108810235272843e-06	3.031051232342952e-06	3.199021191399443e-02
4.182157398467808e-01	1.431665338676451e-02	6.979631603865125e-02	1.120398263321451e-02	1.297891269066385e-02	4.343537870941798e-03	1.085943891714365e-04	4.442066492267554e-03	-3.656835229140801e-05	4.108810235272843e-06	3.031051232342952e-06	3.346137536718335e-02
4.982296585465732e-01	1.431665338676451e-02	6.979631603865125e-02	1.120398263321451e-02	1.297891269066385e-02	4.343537870941798e-03	1.085943891714365e-04	4.442066492267554e-03	-3.656835229140801e-05	4.108810235272843e-06	3.031051232342952e-06	3.485307822774663e-02
